type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
photo	post_user_212370502141521	212370502141521_1512253542153204	https://www.facebook.com/212370502141521/posts/1512253542153204	Por si  a alguno le sobran fotos   ya sabéis . Yo me bajo al bar de al lado de mi casa para ver si les sobra cerveza  que yo si se q hacer con ella 😂😂😂	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14725466_10153772371111470_8438820941936833952_n.jpg?oh=3a43dad6799791828c6ae318771b0cb9&oe=58A422C3	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14725466_10153772371111470_8438820941936833952_n.jpg?oh=dd1d447806554946fb62ebdfecca91ad&oe=58ACFBCE	https://www.facebook.com/photo.php?fbid=10153772371111470&set=gm.1512253542153204&type=3	facebook.com	2016-10-14T17:29:56+0000	1476466196	2016-10-14 19:29:56	12	36	40	5	81	36	19	17	40	0	12	0	1	11	0	16	0
photo	post_user_212370502141521	212370502141521_1510200605691831	https://www.facebook.com/212370502141521/posts/1510200605691831	Buenas tardes. Ojalá alguien pueda darme algo de luz a esta duda:  ¿Puede venderse una fotografía realizada dentro de un museo (pedí permiso en su momento al propio centro) en la cual sale una obra de un artista que estaba exponiendo? Una agencia americana quiere representarme y una de las imágenes que me gustaría incluir en su portfolio de venta es precisamente ésta en la que aparece una escultura. GRACIAS de antemano.	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14633036_10207485712000190_6621566235818918366_n.jpg?oh=8090df42de363739196f8a50f32aa6e5&oe=58A58A82	https://scontent.xx.fbcdn.net/v/t1.0-9/q84/s720x720/14633036_10207485712000190_6621566235818918366_n.jpg?oh=9c356abe52658e4e1814287fd3ad95b1&oe=58A70E9A	https://www.facebook.com/photo.php?fbid=10207485712000190&set=gm.1510200605691831&type=3	facebook.com	2016-10-12T17:55:10+0000	1476294910	2016-10-12 19:55:10	6	33	7	0	40	33	17	16	25	0	6	0	1	0	0	0	0
photo	post_user_212370502141521	212370502141521_1508022379242987	https://www.facebook.com/212370502141521/posts/1508022379242987	Hola  hoy en El Confidencial aparece una foto mía que ha sido recortada y aparece con el nombre de Pepe Torres agencia EFE  alucino  adjunto pantallazo y original. Es verdad que yo colaboré con la Universiada y que parte de mis fotos se usaron por la organización para sus publicaciones y web  pero nunca esperaba encontrarla en prensa fuera de la Universiada y lo que mas me molesta es que aparezca un nombre en ella que absolutamente tiene nada que ver con la obtención de la misma salvo el recortarla...por supuesto no tengo ningún contrato de cesión con la Universiada por que fue una colaboración voluntaria pero si me gustaría que se reconociera la autoría o al menos que no se usurpara y si ha habido beneficio económico que se donará y no lucrara al que pretende beneficiarse del trabajo ajeno con malas artes. Como debería proceder  me dirijo al medio o al  supuesto  fotógrafo...	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14590321_10154572297774402_3694551658873257355_n.jpg?oh=ea713ad55de6ea94276200ee802fb752&oe=58ABFD4A	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14590321_10154572297774402_3694551658873257355_n.jpg?oh=758ce96fa3c8a1b05143465cebb5dd96&oe=589EEE47	https://www.facebook.com/photo.php?fbid=10154572297774402&set=gm.1508022379242987&type=3	facebook.com	2016-10-10T10:23:38+0000	1476095018	2016-10-10 12:23:38	3	23	7	1	31	23	15	8	23	0	2	0	1	0	1	2	0
status	post_user_212370502141521	212370502141521_1511054782273080	https://www.facebook.com/212370502141521/posts/1511054782273080	Hola  al final necesito un abogado pq aunque EFE reconoce que fue engañado por su fotógrafo haciéndose pasar por el autor de mi foto  el a mi no me reconoce nada y creo que corresponde reclamar a EFE que al final es quién le vende la foto a El Confidencial y que se aclaren entre ellos. Algún abogado conocedor de estos asuntos? (Esto está relacionado con mi post de hace un par de días)					2016-10-13T15:16:29+0000	1476371789	2016-10-13 17:16:29	7	13	8	1	22	13	7	6	13	0	7	0	0	0	0	1	0
link	post_user_212370502141521	212370502141521_1510958092282749	https://www.facebook.com/212370502141521/posts/1510958092282749	Hasta la Iglesia ya se hace con fotografías de manera gratuita engañando a la gente con un supuesto  concurso . Pero  no contentos con ello  encima tienen la jeta de pedir que las fotos sean impresas. Lo mejor  los premios xD  Aquí la noticia... En fin...  	https://external.xx.fbcdn.net/safe_image.php?d=AQBO0dgmhqQ89SQG&w=130&h=130&url=http%3A%2F%2Fzigzagdigital.com%2Fupload%2Fimg%2Fperiodico%2Fimg_15664.jpg&cfs=1	https://external.xx.fbcdn.net/safe_image.php?d=AQDCbQXw-RPo7oIx&url=http%3A%2F%2Fzigzagdigital.com%2Fupload%2Fimg%2Fperiodico%2Fimg_15664.jpg	http://zigzagdigital.com/not/13513/i-concurso-fotografico-lsquo-camino-del-calvario-rsquo-/	zigzagdigital.com	2016-10-13T13:04:58+0000	1476363898	2016-10-13 15:04:58	1	25	4	3	32	14	12	2	5	0	1	0	0	0	0	3	0
photo	post_user_212370502141521	212370502141521_1509993219045903	https://www.facebook.com/212370502141521/posts/1509993219045903	Hoy hablaba con un chef de cocina y me decía que estaban pensando en prohibir fotografiar sus platos por dos motivos:   1.- No salen bien fotografiados y suelen quedar  feos  (o ya  empezados ) 2.- Otros chefs les copian las presentaciones  En resumen  que he encontrado otro sector que tampoco sabe bien cómo poder poner puertas al campo. #NoEstamosSolos ;)	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14717229_10154535919087207_6718635058410683106_n.jpg?oh=f3dcf777610ca0c559e303c46e99612f&oe=58986502	https://scontent.xx.fbcdn.net/v/t1.0-0/p480x480/14717229_10154535919087207_6718635058410683106_n.jpg?oh=c5f45bdf4ef743844806f234a50c76a1&oe=58A14611	https://www.facebook.com/photo.php?fbid=10154535919087207&set=gm.1509993219045903&type=3	facebook.com	2016-10-12T13:03:16+0000	1476277396	2016-10-12 15:03:16	4	9	4	0	13	9	7	2	8	0	4	0	0	0	0	0	0
status	post_user_212370502141521	212370502141521_1510833748961850	https://www.facebook.com/212370502141521/posts/1510833748961850						2016-10-13T10:52:07+0000	1476355927	2016-10-13 12:52:07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
link	post_user_212370502141521	212370502141521_1509955535716338	https://www.facebook.com/212370502141521/posts/1509955535716338	Información interesante sobre contratos para fotógrafos.	https://external.xx.fbcdn.net/safe_image.php?d=AQDneQwQvTbAqS6Y&w=130&h=130&url=http%3A%2F%2Fmarketingparafotografos.es%2Fwp-content%2Fuploads%2F2016%2F10%2Fcontratos-de-fotografia.jpg&cfs=1	https://external.xx.fbcdn.net/safe_image.php?d=AQCoHYmWRHSS_i_j&url=http%3A%2F%2Fmarketingparafotografos.es%2Fwp-content%2Fuploads%2F2016%2F10%2Fcontratos-de-fotografia.jpg	http://marketingparafotografos.es/contratos-de-fotografia/	marketingparafotografos.es	2016-10-12T11:55:14+0000	1476273314	2016-10-12 13:55:14	45	1	45	27	73	1	1	0	1	0	44	0	0	0	0	0	0
photo	post_user_212370502141521	212370502141521_1510084695703422	https://www.facebook.com/212370502141521/posts/1510084695703422	Otro concurso con el que pretenden hacerse de una colección por cuatro euros y en la que despojan al fotógrafo de cualquier tipo de derecho sobre las fotografías. Articulo 12.	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14671200_1152263761520119_40386958624016433_n.jpg?oh=3d047f01b059ea8838125de332aa1316&oe=585F0C69	https://scontent.xx.fbcdn.net/t31.0-8/s720x720/14615769_1152263761520119_40386958624016433_o.jpg	https://www.facebook.com/AFelx/photos/a.108972649182574.17610.106061972806975/1152263761520119/?type=3	facebook.com	2016-10-12T15:24:44+0000	1476285884	2016-10-12 17:24:44	0	2	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0
status	post_user_212370502141521	212370502141521_1500605266651365	https://www.facebook.com/212370502141521/posts/1500605266651365	Esta web vende todas nuestras fotos por la cara  ya les he escrito.  He hecho una busqueda de Tino Soriano  os aconsejo que miréis si están vuestras fotos: http://wallpart.com/search?keyword=tino+soriano&page=3					2016-10-02T11:30:47+0000	1475407847	2016-10-02 13:30:47	10	49	26	5	80	49	33	16	40	0	10	0	3	0	0	13	0
photo	post_user_212370502141521	212370502141521_1509463695765522	https://www.facebook.com/212370502141521/posts/1509463695765522	He estado buscando lo que se escribió sobre las maquinas expendoras de fotos de instagram.  Alguien sabe algo?	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14725743_1332564863421449_2800944814739110647_n.jpg?oh=6683859121daa09dec43111ea61c8072&oe=58A2B9E3	https://scontent.xx.fbcdn.net/v/t1.0-9/q87/s720x720/14725743_1332564863421449_2800944814739110647_n.jpg?oh=49ee896927859128ae9a23b0db17c56c&oe=58A2D5CF	https://www.facebook.com/photo.php?fbid=1332564863421449&set=gm.1509463695765522&type=3	facebook.com	2016-10-11T20:21:05+0000	1476217265	2016-10-11 22:21:05	1	14	1	1	16	14	13	1	8	0	1	0	0	0	0	0	0
photo	post_user_212370502141521	212370502141521_1507298545982037	https://www.facebook.com/212370502141521/posts/1507298545982037	Acabo de ver que han utilizado una de mis imágenes  la de Domingo  El Colorao   para el cartel de Bucio 2016 sin permiso previo. Es muy fácil encontrarse por ahí las imágenes y hacerse un cartelito guapo sin que te cueste un duro... Y cobrando la entrada. Espero que me respondan afirmativamente a la factura que les acabo de pasar.	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14632814_1156999874391085_2371357241518941982_n.jpg?oh=5efb8696e4b4afa6cafefd208eadd382&oe=589A87CB	https://scontent.xx.fbcdn.net/t31.0-8/s720x720/14542602_1156999874391085_2371357241518941982_o.jpg	https://www.facebook.com/Tamaimos/photos/a.367354416688972.87681.169691236455292/1156999874391085/?type=3	facebook.com	2016-10-09T13:57:29+0000	1476021449	2016-10-09 15:57:29	2	10	5	0	15	10	6	4	8	0	2	0	1	0	0	2	0
status	post_user_212370502141521	212370502141521_246842172027687	https://www.facebook.com/212370502141521/posts/246842172027687	Josep Casulleras edited a doc in the group: STOP CLAUSULAS ABUSIVAS A LOS FOTÓGRAFOS.					2011-09-07T09:14:41+0000	1315386881	2011-09-07 11:14:41	192	27	192	0	219	26	26	0	47	0	173	0	0	0	0	0	0
status	post_user_212370502141521	212370502141521_1504980692880489	https://www.facebook.com/212370502141521/posts/1504980692880489	Esta es mi carta al Director de La Nueva España  después de meditar sobre la última  fechoría  fotográfica que me afecta directamente: la publicación de las fotos sin mi firma en el artículo de la presentación del CB Navia el sábado 1 de Octubre en La Plaza del Ayuntamiento de Navia. Vaya por delante mi agradecimiento al CB Navia por confiar en mí para este evento. Lo triste viene a continuaciòn:  PUBLICANDO FOTOS SIN NOMBRAR AL AUTOR (La Nueva España  por enésima vez) No es la primera  ni la segunda  ni siquiera la tercera  ni será la última vez que su diario LNE publica alguna de mis fotos sin pedirme autorización ni citar mi nombre como autor de la foto. Hace ya muchos años que me dedico  como fotógrafo aficionado  a cubrir eventos deportivos colaborando con los organizadores de los mismos de forma puramente altruista. He tenido ocasión de publicar a lo largo de los años en algunas revistas e incluso en el Marca y todos ellos me han solicitado permiso y me han citado como autor de las fotos. Ha sido y sigue siendo costumbre que los pocos periodistas  a veces ninguno  que vienen a cubrir la noticia no disponen de cámaras con un mínimo de calidad  máxime ahora que se trabaja con los teléfonos móviles. Ya he visto de todo  hasta un becario de su diario en El Club de Prensa de LNE cubriendo una presentación sin pilas en el flash. Y claro  la organización quiere que su prueba tenga cabida en la edición impresa/digital del día siguiente  así que se ponen en contacto con los medios y la respuesta es fácil:  mandadnos unas fotos y una crónica y nosotros lo encajamos . En ocasiones sólo se pide la foto ya que el periodista de turno se encarga del texto escrito. Y aquí se empieza a liar la madeja. El fotógrafo  en este caso el que escribe  quiere que firmen la foto con su nombre. ¡Ah  pero no podemos! respuesta frecuente. Porque si el fotógrafo fuera profesional ya no habría discusión. ¿Me entiende  verdad? Si las fotos las cede directamente la organización no se dignan ni a especificarlo; es más las ponen en una pantalla y les sacan foto de la foto  y eso si lo ponen: “reproducción de periodista x”. ¡Qué fácil! Sin embargo el autor material sigue sin nombrarse. Si la foto tiene la firma como marca de agua la recortan o la retocan y en la mayoría de ocasiones la firma de la foto consta la del periodista que escribe. Soy consciente de que lo correcto sería interponer una demanda que no llegaría a ninguna parte. Eso ya lo saben ustedes y por eso actúan en la impunidad más absoluta. Total la bronca siempre se la lleva el periodista de contacto al que tampoco respetan cuando les manda las indicaciones de quién firma la foto. En este caso  mi experiencia con su medio es nefasta. Me han publicado fotos con el nombre del periodista local  publicado fotos  como de los actos celebrados pero con imágenes de un año antes con representantes de la organización que salían en la foto que habían fallecido  fotos sin nombrarme ni tan siquiera a la organización que las cede. Y me duele que cuando colaboras con amigos tengas que decirles que tus fotos no quieres que las manden a La Nueva España porque no te respetan la autoría de las fotos. Y verles la cara de disgusto cuando te miran ignorantes de la forma de proceder de este periódico. Y en algún caso  siendo el medio oficial de la prueba  han venido a pedirme fotos  que luego han publicado sin firma. Señores de La Nueva España no entiendo por qué es tan difícil seguir el camino correcto  respetar al fotógrafo autor de la imagen y nombrarlo; no aprovecharse del trabajo gratis  pero de calidad  de gente como yo que no buscan lucrarse sino colaborar. Su periódico no es gratuito y ya que no invierten en fotógrafos respeten los derechos intelectuales de los fotógrafos aficionados como yo que sólo pedimos que se nos reconozca nuestro trabajo. Mi firma es Manolo Lebredo y no aparecerá en su periódico siempre que yo pueda evitarlo. Sólo espero que  por lo menos  nadie vuelva más a pedirme una foto para LNE.					2016-10-06T22:20:19+0000	1475792419	2016-10-07 00:20:19	7	43	7	1	51	43	3	40	32	0	7	0	0	0	0	0	0
status	post_user_212370502141521	212370502141521_1501976513180907	https://www.facebook.com/212370502141521/posts/1501976513180907	Puede ser que en un sitio de celebración de eventos te impongan ellos su fotógrafo?					2016-10-03T21:34:41+0000	1475530481	2016-10-03 23:34:41	1	52	4	0	56	52	23	29	21	0	1	0	1	0	1	1	0
status	post_user_212370502141521	212370502141521_1504977846214107	https://www.facebook.com/212370502141521/posts/1504977846214107	Esta es mi carta al Director de La Nueva España  después de meditar sobre la última  fechoría  fotográfica que me afecta directamente: la publicación de las fotos sin mi firma en el artículo de la presentación del CB Navia el sábado 1 de Octubre en La Plaza del Ayuntamiento de Navia. Vaya por delante mi agradecimiento al CB Navia por confiar en mí para este evento. Lo triste viene a continuaciòn:  PUBLICANDO FOTOS SIN NOMBRAR AL AUTOR (La Nueva España  por enésima vez) No es la primera  ni la segunda  ni siquiera la tercera  ni será la última vez que su diario LNE publica alguna de mis fotos sin pedirme autorización ni citar mi nombre como autor de la foto. Hace ya muchos años que me dedico  como fotógrafo aficionado  a cubrir eventos deportivos colaborando con los organizadores de los mismos de forma puramente altruista. He tenido ocasión de publicar a lo largo de los años en algunas revistas e incluso en el Marca y todos ellos me han solicitado permiso y me han citado como autor de las fotos. Ha sido y sigue siendo costumbre que los pocos periodistas  a veces ninguno  que vienen a cubrir la noticia no disponen de cámaras con un mínimo de calidad  máxime ahora que se trabaja con los teléfonos móviles. Ya he visto de todo  hasta un becario de su diario en El Club de Prensa de LNE cubriendo una presentación sin pilas en el flash. Y claro  la organización quiere que su prueba tenga cabida en la edición impresa/digital del día siguiente  así que se ponen en contacto con los medios y la respuesta es fácil:  mandadnos unas fotos y una crónica y nosotros lo encajamos . En ocasiones sólo se pide la foto ya que el periodista de turno se encarga del texto escrito. Y aquí se empieza a liar la madeja. El fotógrafo  en este caso el que escribe  quiere que firmen la foto con su nombre. ¡Ah  pero no podemos! respuesta frecuente. Porque si el fotógrafo fuera profesional ya no habría discusión. ¿Me entiende  verdad? Si las fotos las cede directamente la organización no se dignan ni a especificarlo; es más las ponen en una pantalla y les sacan foto de la foto  y eso si lo ponen: “reproducción de periodista x”. ¡Qué fácil! Sin embargo el autor material sigue sin nombrarse. Si la foto tiene la firma como marca de agua la recortan o la retocan y en la mayoría de ocasiones la firma de la foto consta la del periodista que escribe. Soy consciente de que lo correcto sería interponer una demanda que no llegaría a ninguna parte. Eso ya lo saben ustedes y por eso actúan en la impunidad más absoluta. Total la bronca siempre se la lleva el periodista de contacto al que tampoco respetan cuando les manda las indicaciones de quién firma la foto. En este caso  mi experiencia con su medio es nefasta. Me han publicado fotos con el nombre del periodista local  publicado fotos  como de los actos celebrados pero con imágenes de un año antes con representantes de la organización que salían en la foto que habían fallecido  fotos sin nombrarme ni tan siquiera a la organización que las cede. Y me duele que cuando colaboras con amigos tengas que decirles que tus fotos no quieres que las manden a La Nueva España porque no te respetan la autoría de las fotos. Y verles la cara de disgusto cuando te miran ignorantes de la forma de proceder de este periódico. Y en algún caso  siendo el medio oficial de la prueba  han venido a pedirme fotos  que luego han publicado sin firma. Señores de La Nueva España no entiendo por qué es tan difícil seguir el camino correcto  respetar al fotógrafo autor de la imagen y nombrarlo; no aprovecharse del trabajo gratis  pero de calidad  de gente como yo que no buscan lucrarse sino colaborar. Su periódico no es gratuito y ya que no invierten en fotógrafos respeten los derechos intelectuales de los fotógrafos aficionados como yo que sólo pedimos que se nos reconozca nuestro trabajo. Mi firma es Manolo Lebredo y no aparecerá en su periódico siempre que yo pueda evitarlo. Sólo espero que  por lo menos  nadie vuelva más a pedirme una foto para LNE.					2016-10-06T22:14:47+0000	1475792087	2016-10-07 00:14:47	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	1	0
status	post_user_212370502141521	212370502141521_1425649724146920	https://www.facebook.com/212370502141521/posts/1425649724146920	Buenas tardes  quería compartir con vosotros algo que me ha ocurrido esta tarde. Si no corresponde aquí por favor indicadlo. Vivo en una urbanización cerrada como muchas de las que hay en Madrid  tiene una pequeña piscina comunitaria y habitualmente me bajo una cámara de fotos para hacer fotos a los peques. Algunas veces fuera de la piscina y otras dentro o incluso dentro del agua con una polaroid acuática  es decir  siempre con compactas. Esta tarde me ha comentado la socorrista que no estaba permitido hacer fotografías en el recinto de la piscina y me he quedado a cuadros. Siempre hemos cuidado que se interpretara claramente que sólo se lo hacíamos a nuestros hijos pero según indica la socorrista ha cambiado la normativa en este tipo de recintos. Alguien puede aportar algo a este tema? Gracias de antemano!!					2016-07-04T20:05:20+0000	1467662720	2016-07-04 22:05:20	2	36	2	0	38	34	23	11	57	0	1	0	0	0	0	0	0
link	post_user_212370502141521	212370502141521_1502414453137113	https://www.facebook.com/212370502141521/posts/1502414453137113	A ver q os parece... 🤔😡  A parte de los derechos q cedes al participar con una foto (mirad bases legales)  me paro cuando llegan al pitorreo de los  privilegios ... 😂	https://external.xx.fbcdn.net/safe_image.php?d=AQD9LhBs14q9xVNS&w=130&h=130&url=https%3A%2F%2Fcp.turismo-japon.es%2Fimg2%2Fsec01_img_02.png&cfs=1	https://external.xx.fbcdn.net/safe_image.php?d=AQDzhnmF1CM-9nKR&url=https%3A%2F%2Fcp.turismo-japon.es%2Fimg2%2Fsec01_img_02.png	https://cp.turismo-japon.es/sp/index.php?utm_source=in_sp&utm_medium=es_link&utm_campaign=photo2	cp.turismo-japon.es	2016-10-04T10:23:40+0000	1475576620	2016-10-04 12:23:40	2	4	3	1	8	4	4	0	0	0	2	0	0	0	0	1	0
status	post_user_212370502141521	212370502141521_1502016806510211	https://www.facebook.com/212370502141521/posts/1502016806510211	Stop cláusulas abusivas también para nuestros compañeros mexicanos!!!					2016-10-03T22:34:36+0000	1475534076	2016-10-04 00:34:36	0	5	3	0	8	5	5	0	3	0	0	0	2	0	0	1	0
link	post_user_212370502141521	212370502141521_1492474830797742	https://www.facebook.com/212370502141521/posts/1492474830797742	Pido vuestra firma en Change. Org.  Usaron mis fotos sin permiso   ni firma para una revista del PSOE  pero contestan al Juzgado que no saben nada de esa revista   que no han participado   como la infanta... Aunque está editada para mayor gloria del jefe de los socialistas vizcaínos y hasta firme la editorial. Mienten! Vuestra firma en change. org sería un buen apoyo porque estoy sola en esto. Hoy me pasa a mi y pasado a ti. Podéis compartir.	https://external.xx.fbcdn.net/safe_image.php?d=AQAIIjaJMo-TTC46&w=130&h=130&url=http%3A%2F%2Fassets.change.org%2Fphotos%2F5%2Fdg%2Fbk%2FVODgbkozQWLemZa-1600x900-noPad.jpg%3F1474640494&cfs=1&sx=0&sy=0&sw=540&sh=540	https://external.xx.fbcdn.net/safe_image.php?d=AQD55W6yffuH-IMT&url=http%3A%2F%2Fassets.change.org%2Fphotos%2F5%2Fdg%2Fbk%2FVODgbkozQWLemZa-1600x900-noPad.jpg%3F1474640494	https://www.change.org/p/psoe-queremos-que-conteste-la-verdad-d-mikel-torres-alcalde-de-portugalete-y-jefe-del-psoe-pse?recruiter=17575169&utm_source=share_petition&utm_medium=facebook&utm_campaign=share_for_starters_page&utm_term=des-lg-no_src-no_msg	change.org	2016-09-23T21:30:48+0000	1474666248	2016-09-23 23:30:48	8	15	13	3	31	15	14	1	11	0	8	0	0	0	0	5	0
link	post_user_212370502141521	212370502141521_1502593186452573	https://www.facebook.com/212370502141521/posts/1502593186452573	1. Cobran 60 dólares. 2. Si haces click en  normativa  la página no existe.  Ladrones de gallinas.	https://external.xx.fbcdn.net/safe_image.php?d=AQAIWEG2-8prAAZe&w=130&h=130&url=http%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQLKNOLEuLJ8PEaBtxUJ2RYukh4xXn9I697Q9-uj1c481rrEgiiiNmvOFAk0CZSOWWHET-upGYVcRqhwJLmUKRFhQB7SxHfQFu9WS4NCK6awxVzTBC09DHDUaoeqsOgNarOw-rKWEv-BkUxOVQ_IIiTq&cfs=1	https://external.xx.fbcdn.net/safe_image.php?d=AQB9OXeNeLw0oGSl&url=http%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQLKNOLEuLJ8PEaBtxUJ2RYukh4xXn9I697Q9-uj1c481rrEgiiiNmvOFAk0CZSOWWHET-upGYVcRqhwJLmUKRFhQB7SxHfQFu9WS4NCK6awxVzTBC09DHDUaoeqsOgNarOw-rKWEv-BkUxOVQ_IIiTq	https://www.lensculture.com/emerging-talent-awards-2016	lensculture.com	2016-10-04T14:34:45+0000	1475591685	2016-10-04 16:34:45	1	0	2	0	2	0	0	0	0	0	1	0	1	0	0	0	0
link	post_user_212370502141521	212370502141521_1501475633230995	https://www.facebook.com/212370502141521/posts/1501475633230995	Hola! Me gustaría saber vuestra opinión sobre las bases de este concurso: http://www.eurostarsmadridtower.com/templates/cadenas/smart_tower/pdf/BasesVPREMIOMADRIDTOWER(ESP)OK.pdf Gracias!			http://www.eurostarsmadridtower.com/templates/cadenas/smart_tower/pdf/BasesVPREMIOMADRIDTOWER(ESP)OK.pdf	eurostarsmadridtower.com	2016-10-03T09:57:14+0000	1475488634	2016-10-03 11:57:14	3	4	3	0	7	4	3	1	3	0	3	0	0	0	0	0	0
status	post_user_212370502141521	212370502141521_1498539816857910	https://www.facebook.com/212370502141521/posts/1498539816857910	CONTRATO DE LA OBRA SOCIAL DE `LA CAIXA´ PARA FOTÓGRAFOS QUE PUBLIQUEN EN SU REVISTA `ALMA´  AUTORIZACIÓN- CESIÓN GRATUITA DERECHOS Yo  D. ..................................................................................  mayor de edad  con plena capacidad de obrar  con D.N.I............................  y domicilio en ................................... CEDO de forma expresa a la Obra Social “la Caixa” y a la Fundación Bancaria “la Caixa”  entidades sin ánimo de lucro  TODOS LOS DERECHOS de las imágenes tomadas a / en (persona o evento) .............................................................................................. que serán publicadas en la revista ALMA  una publicación gratuita de la Obra Social “la Caixa” y/o la Fundación Bancaria “la Caixa”. Dichas fotografías fueron encargadas por PRISMA PUBLICACIONES SL  empresa que me abonará contra factura la cantidad estipulada por este trabajo puntual y con quien me rige contrato de colaboración. Todas las imágenes que incluya este reportaje fotográfico de la revista ALMA podrán ser divulgadas en cualquier medio (prensa  internet  etc.) y en cualesquier elemento gráfico de difusión sin carácter limitativo e incluyendo cualesquiera otros medios y soportes precisos para la difusión de los programas y actividades desarrollados por la Obra Social “la Caixa” y/o la Fundación Bancaria “la Caixa”  por sí mismas o en colaboración con otras entidades  en cumplimiento de su objeto social o fundacional  y sin ánimo de lucro. La presente autorización tendrá una vigencia temporal ilimitada. Esta autorización es completamente gratuita  y el aquí firmante se compromete a no pedir ni reclamar ninguna compensación  pago  reembolso ni indemnización a cambio de la presente autorización libremente emitida a favor de la Obra Social “la Caixa” y la Fundación Bancaria “la Caixa” para la utilización de su imagen. Barcelona  ___ de _____ de 20__					2016-09-30T10:50:20+0000	1475232620	2016-09-30 12:50:20	0	3	6	0	9	3	3	0	8	0	0	0	0	0	0	6	0
status	post_user_212370502141521	212370502141521_1496643830380842	https://www.facebook.com/212370502141521/posts/1496643830380842	RESPUESTA recibida por mail de los responsables de GARRAF FILM COMISSION   Bon dia Josep    Quan no es tracta d’una feina retribuïda amb finalitats comercials no es necessari treure el permís de Sessió Fotogràfica al domini públic municipal.   Salutacions cordials i bona sort amb llum i la posta de sol.   Lo que en castellano viene a ser que si las fotografias no son un trabajo comercial  no hace falta permiso... ============= Alguien me puede confirmar si esta regulado en #SITGES el uso de tripode  si es necesario algun tipo de permiso al estilo de Barcelona (ese ya lo tengo 😉) para fotografiar por un grupo de 6-8 aficionados... Consultado el Ayto. me remite a la Sitges Film Office  los telefonos que me dan no los cogen o saltan  enviado mail no tengo respuesta todavia... Vamos y si nos dicen algo ponemos cara de morsa albina  o les saco copia del mail sin respuesta  o les contestamos  mi no entender cosa dice  o .... Gracias.					2016-09-28T10:36:34+0000	1475058994	2016-09-28 12:36:34	4	21	5	0	26	21	12	9	16	0	4	0	0	1	0	0	0
photo	post_user_212370502141521	212370502141521_1498430413535517	https://www.facebook.com/212370502141521/posts/1498430413535517	Ibán Pablo Sánchez shared Democracia real YA! Madrid s photo to the group: STOP CLAUSULAS ABUSIVAS A LOS FOTÓGRAFOS.	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14448771_1254281277956286_7140754284467066957_n.jpg?oh=f01acc8b506a247996d5286b879cceb7&oe=586C2465	https://scontent.xx.fbcdn.net/v/t1.0-9/14448771_1254281277956286_7140754284467066957_n.jpg?oh=25a46431c741b187163ed8814ab803e7&oe=58AB8C0E	https://www.facebook.com/democraciarealyamadrid/photos/a.196521667065591.65992.192573234127101/1254281277956286/?type=3	facebook.com	2016-09-30T07:18:18+0000	1475219898	2016-09-30 09:18:18	30	0	31	31	62	0	0	0	0	0	30	0	0	0	0	0	0
