type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
status	post_user_212370502141521	212370502141521_1486349398076952	https://www.facebook.com/212370502141521/posts/1486349398076952	El año pasado realice unas fotos que iban destinadas a ilustrar un libro. Mi cliente  seleccionó 135 fotografías  que entregué adecuadas para impresión y facturé.  El libro salió ya en su momento.  Ahora  va a sacar edición del mismo libro  pero en otro idioma  en inglés.   ¿Cómo veis el tema respecto a mis fotografías? ¿Una vez facturadas  ya me tengo que olvidar de más? ¿las puede utilizar para esta nueva edición sin problema? ¿Procede cobrar algo por esta nueva edición?					2016-09-17T09:08:47+0000	1474103327	2016-09-17 11:08:47	3	19	3	0	22	19	8	11	13	0	3	0	0	0	0	0	0
photo	post_user_212370502141521	212370502141521_1485208048191087	https://www.facebook.com/212370502141521/posts/1485208048191087	Soy mexicano y viví un par de años en España. Hermoso país y hermosa gente  pero como ven que una empresa española en está haciendo en suelo mexicano. Es indignante y denigrante	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14390735_10157470804490026_4909138467344584012_n.jpg?oh=c0db0bb92170efd17ffc6663fb76d04c&oe=589905EA	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14390735_10157470804490026_4909138467344584012_n.jpg?oh=8561c28e345bd938cd7577eaa4a76ce3&oe=58ABBFE7	https://www.facebook.com/photo.php?fbid=10157470804490026&set=gm.1485208048191087&type=3	facebook.com	2016-09-15T22:55:34+0000	1473980134	2016-09-16 00:55:34	0	7	3	0	10	7	6	1	0	0	0	0	0	0	0	3	0
link	post_user_212370502141521	212370502141521_1489744507737441	https://www.facebook.com/212370502141521/posts/1489744507737441	Buenas  acabo de ver el videoclip de un cantante realizado con  fotos de su archivo personal  y entre el montón de fotos aparece una hecha por mi (con la firma en el medio) y estoy un poco en shock. ¿Como mínimo debería de haber pedido permiso para su uso no? No sabía si ponerlo o no  pero quizás haya algún sorprendido más por aquí. Este es el video 	https://external.xx.fbcdn.net/safe_image.php?d=AQCJWwWD9nrVDv3C&w=130&h=130&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FnmhJnE_Cq9o%2Fmaxresdefault.jpg&cfs=1&sx=239&sy=0&sw=720&sh=720	https://external.xx.fbcdn.net/safe_image.php?d=AQCJ9uM97RFJKoNs&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FnmhJnE_Cq9o%2Fmaxresdefault.jpg	https://youtu.be/nmhJnE_Cq9o	youtu.be	2016-09-20T21:47:59+0000	1474408079	2016-09-20 23:47:59	8	9	8	0	17	9	5	4	3	0	8	0	0	0	0	0	0
link	post_user_212370502141521	212370502141521_1483898174988741	https://www.facebook.com/212370502141521/posts/1483898174988741	http://www.periodicoclm.es/articulo/ciudad-real/fotografa-joven-estudiante-agredida-taurinos-daimiel-gestos-saludos-nazis-mientras-insultaban/20160913201216005681.html	https://external.xx.fbcdn.net/safe_image.php?d=AQCEqcJekNcOjjl7&w=130&h=130&url=http%3A%2F%2Fwww.periodicoclm.es%2Fmedia%2Fperiodicoclm%2Fimages%2F2016%2F09%2F13%2F2016091319453376250.jpg&cfs=1	https://external.xx.fbcdn.net/safe_image.php?d=AQCXWOZjGRpTTfmZ&url=http%3A%2F%2Fwww.periodicoclm.es%2Fmedia%2Fperiodicoclm%2Fimages%2F2016%2F09%2F13%2F2016091319453376250.jpg	http://www.periodicoclm.es/articulo/ciudad-real/fotografa-joven-estudiante-agredida-taurinos-daimiel-gestos-saludos-nazis-mientras-insultaban/20160913201216005681.html	periodicoclm.es	2016-09-14T13:52:11+0000	1473861131	2016-09-14 15:52:11	4	9	16	6	31	9	6	3	6	0	4	0	0	0	2	10	0
link	post_user_212370502141521	212370502141521_1486937458018146	https://www.facebook.com/212370502141521/posts/1486937458018146	Hola  este es mi primer post aquí. Os cuento un poco  no es la primera vez que me roban fotos para uso editorial  y las denuncias las suelo hacer a través de Getty Images. Resulta que han utilizado una de mis fotos en un libro chino  y es una foto que no tengo en Getty  así que no sé muy bien cómo proceder...  ¿Alguien puede echarme un cable?  Os dejo aquí las referencias:  Foto original: https://www.flickr.com/photos/freeflyer09/7721345146/  El libro dentro de la editorial: http://www.seikyusha.co.jp/wp/books/isbn978-4-7872-3397-4  Foto del libro (La he encontrado en un blog a través de Pixsy): http://blog-imgs-92.fc2.com/m/a/k/makoogura/IMG_5227.jpg  Distribuidora de Amazon: https://www.amazon.co.jp/%E3%82%B0%E3%83%AD%E3%83%BC%E3%83%90%E3%83%AB%E4%BA%BA%E6%9D%90%E3%81%A8%E3%81%AF%E8%AA%B0%E3%81%8B-%E8%8B%A5%E8%80%85%E3%81%AE%E6%B5%B7%E5%A4%96%E7%B5%8C%E9%A8%93%E3%81%AE%E6%84%8F%E5%91%B3%E3%82%92%E5%95%8F%E3%81%86-%E5%8A%A0%E8%97%A4-%E6%81%B5%E6%B4%A5%E5%AD%90/dp/4787233971/ref=sr_1_1?s=books&ie=UTF8&qid=1474152746&sr=1-1	https://external.xx.fbcdn.net/safe_image.php?d=AQDUEfk84dnn0QVK&w=130&h=130&url=https%3A%2F%2Fc1.staticflickr.com%2F9%2F8427%2F7721345146_baa5a06f7c_b.jpg&cfs=1&sx=0&sy=0&sw=1024&sh=1024	https://external.xx.fbcdn.net/safe_image.php?d=AQAX65XbzVViIMm5&url=https%3A%2F%2Fc1.staticflickr.com%2F9%2F8427%2F7721345146_baa5a06f7c_b.jpg	https://www.flickr.com/photos/freeflyer09/7721345146/	flickr.com	2016-09-17T22:58:43+0000	1474153123	2016-09-18 00:58:43	9	18	18	0	36	18	10	8	10	0	9	0	1	0	0	8	0
link	post_user_212370502141521	212370502141521_1487382067973685	https://www.facebook.com/212370502141521/posts/1487382067973685	Hola  esta es mi primera publicación  me pareció interesante lo que explica este chico  no me refiero a lo que es el tutorial en sí  si no lo que explica sobre el copyright y la propiedad de las fotos. ¿Que os parece?  PD:  Perdonar mi pobre conocimiento...	https://external.xx.fbcdn.net/safe_image.php?d=AQDks3Wzfcpcd1-D&w=130&h=130&url=http%3A%2F%2Fwww.photoshopeando.com%2Fwp-content%2Fuploads%2F2013%2F02%2Fcopyright.gif&cfs=1	https://external.xx.fbcdn.net/safe_image.php?d=AQDgjPHEOapXSl1K&url=http%3A%2F%2Fwww.photoshopeando.com%2Fwp-content%2Fuploads%2F2013%2F02%2Fcopyright.gif	http://www.photoshopeando.com/2013/02/22/marcar-imagenes-con-copyright-para-que-aparezca-la-en-photoshop/	photoshopeando.com	2016-09-18T10:00:16+0000	1474192816	2016-09-18 12:00:16	5	0	5	4	9	0	0	0	0	0	5	0	0	0	0	0	0
status	post_user_212370502141521	212370502141521_1485805921464633	https://www.facebook.com/212370502141521/posts/1485805921464633	Para los que piensan que por una imagen no vale la pena reclamar aquí tenéis esta interesante entrada.					2016-09-16T17:36:59+0000	1474047419	2016-09-16 19:36:59	33	2	37	16	55	2	2	0	0	0	32	4	0	0	0	0	0
link	post_user_212370502141521	212370502141521_1486082051437020	https://www.facebook.com/212370502141521/posts/1486082051437020	Recién salio este concurso en el que piden fotos a cambio de participar por 3 premios  ¿qué os parece?	https://external.xx.fbcdn.net/safe_image.php?d=AQCAYCi2ZpaXoXsi&w=130&h=130&url=http%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQJPy1O_miKC35Ul814SAKq0cSmSWATdZfDxuLpLH0XWg8lJYDzRPrYN-0Q1KIbozWiUIdKUJgVgCNnM92iSCMqCINJv9wM_N6cWjs5ixggPQJpH6pnTZA0qHbk19tJKWOuYzERsD1kTaqYqIJkayWg8&cfs=1	https://external.xx.fbcdn.net/safe_image.php?d=AQBeDRJJYwB0icOz&url=http%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQJPy1O_miKC35Ul814SAKq0cSmSWATdZfDxuLpLH0XWg8lJYDzRPrYN-0Q1KIbozWiUIdKUJgVgCNnM92iSCMqCINJv9wM_N6cWjs5ixggPQJpH6pnTZA0qHbk19tJKWOuYzERsD1kTaqYqIJkayWg8	http://www.latomacafeoma.com/?utm_source=FB&utm_medium=CPC&utm_campaign=Toma_Oma	latomacafeoma.com	2016-09-17T01:04:50+0000	1474074290	2016-09-17 03:04:50	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
link	post_user_212370502141521	212370502141521_1485817591463466	https://www.facebook.com/212370502141521/posts/1485817591463466	vi esto compartido en otro grupo y lo veo interesante para este leerlo porque no tiene desperdicio (incluso leer las cartas al periodico con sus respuestas)					2016-09-16T17:58:44+0000	1474048724	2016-09-16 19:58:44	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
photo	post_user_212370502141521	212370502141521_1485811551464070	https://www.facebook.com/212370502141521/posts/1485811551464070	Jose El Gallo shared Agrupació Fotogràfica Xàbia s photo to the group: STOP CLAUSULAS ABUSIVAS A LOS FOTÓGRAFOS.	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14265004_340576086288397_7038368625027388691_n.jpg?oh=dc720af521a9c234e1ab5f412f9020e9&oe=58AD9F40	https://scontent.xx.fbcdn.net/t31.0-8/s720x720/14352527_340576086288397_7038368625027388691_o.jpg	https://www.facebook.com/afxabia/photos/a.136700933342581.1073741828.129429144069760/340576086288397/?type=3	facebook.com	2016-09-16T17:47:24+0000	1474048044	2016-09-16 19:47:24	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
