,comunidades2,label
159,3,pedrothdc
222,3,SWADroid
199,3,P4Tr1ci0
155,3,ETSIIT_UGR
224,3,swad_ugr
254,3,softwarejimenez
197,3,Haskell_ETSIIT
196,3,nitrositolinux
246,3,acanasvargas
225,3,OpenSWAD
309,3,PacheThings
344,3,viejacalva
140,3,JavierIzqV
366,3,delegaETSIIT
114,3,wildunix
63,3,robertosolinsur
109,3,UGRemprendedora
115,3,conciti
129,3,Curro_Rico
116,3,atc_ugr
117,3,LSI_UGR
14,3,LaYoEl
3,3,Blitzer_
363,3,ETSIITenlucha
118,3,MBOT101
88,3,franjromera
492,3,Alberto_Huertas
6,3,aleherse
127,3,_musicalnote
58,3,GrupoTrevenque
93,3,NataliaDiazRodr
122,3,SWADberry
539,3,AlvaroLab
233,4,InformaticAdict
173,4,CitroenEspana
176,4,DGTes
4,4,yrubiosec
272,4,lamarea_com
164,4,guardiacivil
239,4,Pecatillo
537,4,volvocar_es
538,4,Toyota_Esp
533,4,javy97
49,4,cochesnet
281,4,ferminamr7
126,4,GDTGuardiaCivil
136,4,CiberPoliES
125,4,sbarrera0
5,4,dipudaswani
319,4,Gomez18Jimenez
234,4,chemaalonso
290,4,carmencitaruma
154,4,Sorayapp
237,5,yabirgb
128,5,BQEducacion
38,5,bukosabino
133,5,python_granada
204,5,Linuxneitor
9,5,pacocp9
30,5,Kalendium
61,5,LauraLaureus
81,5,WizMik12
23,5,sinclair_88
299,5,iblancasa
70,5,laucabel
59,5,amil101
67,5,ciherraiz
152,5,victorobs
28,5,anvius
120,5,_jesusmg
22,5,josemlp91
39,6,siqueira_crack
72,6,Lopuiz
130,6,andreshp95
379,6,TessaAlgarra
11,6,mx_psi
55,6,QuemasdaFrank
250,6,Keirobm
167,6,AsoABUG
31,6,LynnxNarwhal
111,6,fdavidcl
24,7,GitHubEng
313,7,Lumia
217,7,github
312,7,windowsdev
25,7,duckduckhack
231,7,linux_deepin
261,7,Raspberry_Pi
259,7,MissPhilbin
16,7,TwitterEng
13,7,womeng
12,7,TwitterWomen
230,7,elementary
276,7,Daps1024
213,7,kdecommunity
69,7,tian2992
181,7,Felipe_Ark
188,7,duckduckgo
54,7,FuriKuri
186,7,mozilla
150,7,AlgebraFact
212,7,linuxfoundation
148,7,SciPyTip
138,7,jawarizmi
147,7,CompSciFact
171,7,GeekGurlDiaries
56,7,digitalocean
143,7,TeXtip
119,7,Zagurito
52,8,germaaan_
145,8,unintendedbear
311,8,fergunet
304,8,Dream_Forge
26,8,javacasm
161,8,renatolrr
179,8,OSLUGR
124,8,UGRingenieras
112,8,MIsGArenas
65,8,Inter_ferencias
190,8,jjmerelo
123,8,Terceranexus6
64,8,psicobyte_
75,8,geekandtechgirl
198,8,NuriaStatgirl
36,8,DatosUGR
200,8,Makova65
470,9,ErTioPollah
511,9,mfgranaina
280,9,CanalUGR
306,9,TapasDeGranada
369,9,86IMD
29,9,ClaudiaKlimt
351,10,Black_Wolf93
166,10,Fiend_0
495,10,Fedackles
294,10,CarlosDeathbat
160,10,lucia0w0
271,10,Alexcused
494,10,_LilxLion
519,10,InmaInuzumaki
402,10,Euge_Black
255,10,Pezoncia
352,10,Alejft
187,10,Pandala93
456,10,Naniu1005
531,10,Fabidark4Espada
32,10,PabloMgal
273,10,Alpa7Chino
520,10,PisameOFAG
275,10,_Neems_
358,10,flabema4_4
320,10,Bernues
535,10,akatsukigranada
431,10,bluepainter_
532,10,titopein
303,11,afortunating
57,11,creativwhisper
289,11,Sleepingpoison
308,11,xDaizu
268,11,__Thanda__
267,11,Lachicadechema
409,12,levantaysonrie
420,12,GuilleSixx
424,12,Yami_Gremory
428,12,28_mishell
76,12,suuuckmykiedis
435,12,MaggotOfWar_
169,12,WikiLluvia
439,12,MiguelFireworks
146,12,SirnightEru
383,12,Despeinada_rose
442,12,MrsUntitled
316,12,Elarina_
444,12,Clara_Estelles
446,12,LauraRVeliz
447,12,lara71295
526,12,luve_frnand3000
349,12,Srtaxxi_
331,12,Geert_Wolf
382,12,DemonsPray
417,12,_SpiritInBlack
412,12,SrKosta
413,12,OfficialSkidRow
282,12,VerdejoConV
283,12,LiliamV13
398,12,anarnz
396,12,Milcury
163,12,SomasCure
394,12,DanDrummer93
356,12,SusTraigoHamor
391,12,ailinchis95
390,12,VitaimanA
388,12,TranshumanUK
292,12,Grysw_
387,12,anecdotariorock
416,12,almu_metalblood
460,13,Mr_Kevorkian
464,13,ainhyew
528,13,CarmendMairena
529,13,ElvisaYM
238,13,computerhoy
191,13,GalicianFighter
459,13,AmazingPhil
468,13,SuperManuMolina
461,13,danisnotonfire
235,13,DonJuanRamonGM
373,13,MariStardust6
534,13,Sadsonnet
223,13,NoodleRest
441,13,belenwhite97
203,13,GoProES
438,13,elliisnotonfire
341,13,s0meonelikeme_
218,13,davidcpvm
418,13,SpaceGem_
414,13,Derisween
397,13,LGuardianera
411,13,RevistaPCI
85,13,evusa91
471,13,AmyLovesSheldon
185,13,FukenElTuerto
253,13,mrwonderful_
165,13,DegollaZine
482,13,unicoos
252,13,ataca_2
489,13,bigbang_ES
248,13,efe_material
517,13,NereaMathers
295,13,laorejadevgogh
525,13,Maria_Lawliet
142,13,ManOwaRFreaK
260,13,rc8300
478,13,elmundotoday
156,13,pccomponentes
477,13,PepeWebosRepes
518,13,MairenaRajoy
285,13,pilonway
501,13,HulkHoygan
328,13,superjaviver
139,13,Konoka_8
514,13,srbanquero
510,13,MaryLou_1812
503,13,DSheldon_Cooper
184,13,LushSpain
286,13,itha_mtz
506,13,Jarpadss
505,13,ElHumanoide
262,14,FloorJansen_
486,14,RaquelAliagaBer
392,14,Peleseaburre
298,14,Adrirocker20
266,14,VickyPsarakis
265,14,vuelofenix_r3
497,14,gnomo_viajero
498,14,DobleV6
301,14,theagonist
389,14,Fall_tx
338,14,Dasderk
516,14,AWhiteGluz
476,14,TheRealAmyFF
86,14,SAEDINrock
475,14,TheRealLeonardH
229,14,Epica
321,14,SimoneSimons
333,14,RaquelSFOficial
479,14,TheRealHowardW
317,14,tonipa24
473,14,TheRealRajK
480,14,TheRealSheldonC
340,14,DivinoDisturbo
274,14,ChemaParkour
368,14,Monster_of_rock
472,14,TheRealPennyBBT
483,14,DannyAgonist
474,14,TheRealBernieRW
327,14,mecagoenellos
462,15,Izu_Aoi
434,15,Infraser28
527,15,sirdanieldrums
437,15,dersaq2
449,15,AlbaCucha
443,15,DecadentValues
490,15,J9_Roach
87,15,stereo6granada
425,15,andrea_Caat
415,15,DecadentValues2
457,15,AildPsycho
305,15,MotherGunBand
378,15,ChemaMontoro1
346,15,chatbizarre
189,15,Juan_Hendrix95
300,15,TiendSouthLabel
325,15,RogersMod
400,15,AkitoCMYK
399,15,Arystar115
384,15,SergioS_Phoenix
393,15,walisho
100,16,VickyMusicLover
91,16,isisblancas
103,16,casa_autougr
96,16,BEST8BITGAMEOMG
104,16,antonialll
102,16,cubitoleds
97,16,MopiRR
99,16,LaOvejalVisillo
92,16,cahmensadness
110,16,iirenehache
101,16,campusUGR
105,16,jivacer
90,16,Maariina_28
89,16,cowboysideral
108,16,Ana_B_R_A
106,16,caravanacampu16
454,17,RubioDeLimon
455,17,TayAlanJones
121,17,Go_Planetary
354,17,MandarinCoulant
348,17,BubbleOnBlood
194,17,rociogsaez
251,17,Printemmps
256,17,_Lord_Shadow
467,17,marytock
404,17,stranghet
296,17,ClauAlways18
334,17,Fires_Penta
263,17,ParanoidShadow
314,17,BrandonCow1
515,17,HombreIlusori0
508,17,nuria7x_
491,17,TheCuteLlama
157,17,Kaalshya
504,17,Rupercio
493,17,MeiinHerzBrennt
336,17,EriikaMc9
405,17,PandaHerondale
335,17,onoderapunyama
436,17,jotarq95
430,17,LocaDesvariada
401,17,IhumeWild
429,17,MetalHellion
364,17,evaanahii
380,17,BeatrizKitten_
293,18,sdfDaniel
307,18,Jorge_v10
375,18,rTargaerys
302,18,JMSD9
376,18,xXJuAnJi05Xx
153,18,Hermes7gl
496,18,annaa_gb
287,18,Migueporcel
310,18,donas11
158,18,CondeRaum
162,18,Konata67
168,18,pablo_skep
174,18,ItsClaudiaLo
228,18,divid94
220,18,erseco
206,18,CyLitoz90
215,18,anagranada95
210,18,PilarQue
288,18,MrMedfac9
318,18,malafar94
211,18,AndJoseGM
361,18,adriRfuente
359,18,Jorge__mac
324,18,ScarlettWaltz
332,18,jestrn
323,18,Muscraziest
372,18,Fiti_RL
357,18,Eli_Alvarez20
365,18,merenguens
362,18,MikelManzanares
370,18,11Afro11
360,18,AlexandRoxsh
137,18,iGecofer
345,18,paco1305
403,19,Metalpollitomon
407,19,Oceloto117
381,19,Rin_lux
422,19,juanfragar
193,19,ruthewe
427,19,AidaDuality
452,19,LuciaMadrid2
342,19,TanySmiler
408,19,AliciaCalimero
406,19,Miguelqueteje
488,19,Pachan_Mask
219,19,HelenaDiGiusti
226,19,_redbeard94
507,19,Carmen_Tralari
521,20,LMRyuzaki
374,20,Cattapultta_
421,20,Nekopanecillo
445,20,evitabedma
227,20,arielardillita
367,20,Winterpurr
297,20,Maximetinu
244,21,mfextremera
247,21,MariaaMegias
524,21,josecali9
523,21,angelrh7
448,21,MarinaAivar
232,21,srta_cynthiia
458,21,Alba18QB
279,21,ernestorc97
500,21,mariferiglesias
484,21,MariioMellado
433,21,estibalizzzz93
469,21,_eLena9
291,21,PilarGMacias
499,21,Andreaespiinola
258,21,PizzasSantaAna
465,21,AlbaJerez1
450,21,Monica_Aguilera
278,21,RatchetMovie
512,21,Jumacasni
385,21,MarioGmm
277,21,RatchetWiki
395,21,lauraescobarve1
419,21,AitiGuadix
509,22,InfEnfurecido
337,22,brau_vl
371,22,Koltharius
481,22,IngenieroFucker
347,22,E1Am1g01nf0rma1
